Transaction_ID,Date,Year,Quarter,Month,Region,State,Product_Category,Product,Sales_Channel,Units_Sold,Unit_Price,Discount_Percent,Gross_Sales,Revenue,Cost,Profit,Profit_Margin_Percent,Marketing_Spend,Shipping_Cost,Returned_Units
TXN100018,01 January 2021,2021,Q1,January,East,Odisha,Electronics,Tablet,Retail,82,23399.57,934.00%,1918764.74,1739607.03,482872.52,1256734.51,7224.00%,76910.47,32152.44,2
TXN100019,01 January 2021,2021,Q1,January,East,Odisha,Furniture,Bookshelf,Distributor,72,15176.78,351.00%,1092728.16,1054417.13,459539.55,594877.58,5642.00%,24908.90,12586.60,2
TXN100020,01 January 2021,2021,Q1,January,East,Bihar,Furniture,Bookshelf,Online,61,15027.74,757.00%,916692.14,847312.85,343184.49,504128.36,5950.00%,50366.83,13140.57,1
TXN100021,01 January 2021,2021,Q1,January,East,Bihar,Furniture,Bookshelf,Retail,57,15036.20,330.00%,857063.40,828777.79,361169.89,467607.90,5642.00%,45276.74,15278.25,0
TXN100022,01 January 2021,2021,Q1,January,East,Odisha,Furniture,Desk,Distributor,77,18374.19,487.00%,1414812.63,1345858.87,533323.86,812535.01,6037.00%,22509.08,21660.91,2
TXN100023,01 January 2021,2021,Q1,January,East,Bihar,Furniture,Desk,Online,75,17637.29,814.00%,1322796.75,1215139.95,494773.82,720366.13,5928.00%,46562.05,12825.32,1
TXN100024,01 January 2021,2021,Q1,January,East,Odisha,Furniture,Desk,Retail,52,17654.49,594.00%,918033.48,863524.63,350466.10,513058.52,5941.00%,40934.52,12095.03,1
TXN100025,01 January 2021,2021,Q1,January,East,Odisha,Furniture,Office Chair,Distributor,84,12014.11,670.00%,1009185.24,941552.59,341702.81,599849.78,6371.00%,16873.70,7590.38,2
TXN100026,01 January 2021,2021,Q1,January,East,West Bengal,Furniture,Office Chair,Online,74,11856.38,1076.00%,877372.12,782963.71,280015.08,502948.63,6424.00%,41892.49,12716.17,2
TXN100027,01 January 2021,2021,Q1,January,East,West Bengal,Furniture,Office Chair,Retail,59,12043.59,908.00%,710571.81,646020.39,261801.98,384218.41,5947.00%,21596.40,8801.11,0
TXN100028,01 January 2021,2021,Q1,January,East,Bihar,Home Appliances,Air Conditioner,Distributor,63,53763.62,100.00%,3387108.06,3353236.98,1118963.09,2234273.89,6663.00%,108575.29,72460.16,0
TXN100029,01 January 2021,2021,Q1,January,East,Bihar,Home Appliances,Air Conditioner,Online,62,52899.11,1082.00%,3279744.82,2925038.21,936363.47,1988674.75,6799.00%,182645.31,53115.67,1
TXN100030,01 January 2021,2021,Q1,January,East,Odisha,Home Appliances,Air Conditioner,Retail,40,51924.72,747.00%,2076988.80,1921769.77,582961.54,1338808.23,6967.00%,74128.65,32952.41,1
TXN100031,01 January 2021,2021,Q1,January,East,West Bengal,Home Appliances,Refrigerator,Distributor,55,48897.64,720.00%,2689370.20,2495688.51,590998.02,1904690.49,7632.00%,65988.90,27404.79,1
TXN100032,01 January 2021,2021,Q1,January,East,West Bengal,Home Appliances,Refrigerator,Online,68,51312.91,811.00%,3489277.88,3206235.82,743584.98,2462650.84,7681.00%,205662.48,52342.38,2
TXN100033,01 January 2021,2021,Q1,January,East,Odisha,Home Appliances,Refrigerator,Retail,49,47129.11,634.00%,2309326.39,2163003.31,478273.40,1684729.91,7789.00%,65123.40,26763.61,0
TXN100034,01 January 2021,2021,Q1,January,East,Odisha,Home Appliances,Washing Machine,Distributor,68,43021.18,562.00%,2925440.24,2761052.21,609486.76,2151565.44,7793.00%,44681.84,46965.29,1
TXN100035,01 January 2021,2021,Q1,January,East,Bihar,Home Appliances,Washing Machine,Online,62,40404.86,849.00%,2505101.32,2292408.34,558271.99,1734136.35,7565.00%,95097.22,50314.90,1
TXN100036,01 January 2021,2021,Q1,January,East,West Bengal,Home Appliances,Washing Machine,Retail,48,40901.79,279.00%,1963285.92,1908412.12,532827.87,1375584.25,7208.00%,91241.00,28267.77,1
TXN100037,01 January 2021,2021,Q1,January,East,Odisha,Office Supplies,Keyboard,Distributor,146,2372.39,406.00%,346368.94,332323.40,160495.72,171827.68,5170.00%,4648.22,5608.16,5
TXN100038,01 January 2021,2021,Q1,January,East,Bihar,Office Supplies,Keyboard,Online,157,2475.93,909.00%,388721.01,353381.25,176052.03,177329.22,5018.00%,21985.47,8162.65,4
TXN100039,01 January 2021,2021,Q1,January,East,Bihar,Office Supplies,Keyboard,Retail,110,2483.54,527.00%,273189.40,258781.18,144930.57,113850.61,4399.00%,9010.55,5201.39,4
TXN100040,01 January 2021,2021,Q1,January,East,West Bengal,Office Supplies,Monitor,Distributor,132,20978.92,192.00%,2769217.44,2715920.95,796315.11,1919605.84,7068.00%,44952.80,58019.06,2
TXN100041,01 January 2021,2021,Q1,January,East,Odisha,Office Supplies,Monitor,Online,141,20956.87,1051.00%,2954918.67,2644323.25,789510.66,1854812.59,7014.00%,155100.20,53624.41,4
TXN100042,01 January 2021,2021,Q1,January,East,Bihar,Office Supplies,Monitor,Retail,95,21169.70,825.00%,2011121.50,1845232.87,557786.43,1287446.44,6977.00%,49367.84,32846.87,2
TXN100043,01 January 2021,2021,Q1,January,East,Bihar,Office Supplies,Printer,Distributor,116,15773.33,659.00%,1829706.28,1709050.44,507189.25,1201861.19,7032.00%,26930.51,35139.37,3
TXN100044,01 January 2021,2021,Q1,January,East,West Bengal,Office Supplies,Printer,Online,123,15932.58,769.00%,1959707.34,1808976.35,629829.18,1179147.17,6518.00%,91278.29,37852.58,3
TXN100045,01 January 2021,2021,Q1,January,East,Bihar,Office Supplies,Printer,Retail,105,15508.05,568.00%,1628345.25,1535854.14,516378.60,1019475.55,6638.00%,65885.79,34537.39,3
TXN100046,01 January 2021,2021,Q1,January,North,Delhi,Accessories,Headphones,Distributor,233,4547.10,319.00%,1059474.30,1025684.73,415353.90,610330.82,5950.00%,26402.91,12097.20,4
TXN100047,01 January 2021,2021,Q1,January,North,Punjab,Accessories,Headphones,Online,251,4449.10,990.00%,1116724.10,1006183.05,479083.27,527099.78,5239.00%,52586.01,14384.21,5
TXN100048,01 January 2021,2021,Q1,January,North,Delhi,Accessories,Headphones,Retail,216,4462.27,714.00%,963850.32,895000.54,378580.73,516419.81,5770.00%,21976.22,13422.28,3
TXN100049,01 January 2021,2021,Q1,January,North,Delhi,Accessories,Power Bank,Distributor,275,2220.75,747.00%,610706.25,565071.64,252490.51,312581.13,5532.00%,20766.23,8519.60,4
TXN100050,01 January 2021,2021,Q1,January,North,Delhi,Accessories,Power Bank,Online,263,2194.10,762.00%,577048.30,533049.47,277092.20,255957.27,4802.00%,27467.22,8032.65,5
TXN100051,01 January 2021,2021,Q1,January,North,Punjab,Accessories,Power Bank,Retail,204,2247.62,384.00%,458514.48,440909.97,207949.66,232960.31,5284.00%,13756.58,6784.14,7
TXN100052,01 January 2021,2021,Q1,January,North,Delhi,Accessories,Smartwatch,Distributor,305,8527.32,549.00%,2600832.60,2458066.72,954290.83,1503775.89,6118.00%,101056.75,62370.14,10
TXN100053,01 January 2021,2021,Q1,January,North,Delhi,Accessories,Smartwatch,Online,214,8605.19,820.00%,1841510.66,1690461.80,680952.87,1009508.93,5972.00%,93899.76,27659.95,8
TXN100054,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Accessories,Smartwatch,Retail,181,8991.86,264.00%,1627526.66,1584577.49,692708.36,891869.13,5628.00%,35016.43,25531.14,6
TXN100055,01 January 2021,2021,Q1,January,North,Delhi,Electronics,Laptop,Distributor,130,59637.99,373.00%,7752938.70,7463791.53,1951332.38,5512459.15,7386.00%,122206.52,70469.52,2
TXN100056,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Electronics,Laptop,Online,104,62798.92,935.00%,6531087.68,5920238.35,1860205.51,4060032.84,6858.00%,282190.44,103624.37,0
TXN100057,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Electronics,Laptop,Retail,84,61272.31,698.00%,5146874.04,4787796.81,1285114.36,3502682.45,7316.00%,149734.33,90814.21,0
TXN100058,01 January 2021,2021,Q1,January,North,Punjab,Electronics,Smartphone,Distributor,106,27035.44,386.00%,2865756.64,2755012.63,574319.18,2180693.45,7915.00%,62079.41,47647.55,3
TXN100059,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Electronics,Smartphone,Online,117,27982.88,914.00%,3273996.96,2974753.89,685458.49,2289295.40,7696.00%,183422.42,50054.41,2
TXN100060,01 January 2021,2021,Q1,January,North,Delhi,Electronics,Smartphone,Retail,83,27795.81,492.00%,2307052.23,2193616.13,584175.23,1609440.90,7337.00%,76539.70,30204.24,2
TXN100061,01 January 2021,2021,Q1,January,North,Delhi,Electronics,Tablet,Distributor,129,24104.16,569.00%,3109436.64,2932444.02,750787.94,2181656.08,7440.00%,60567.75,66446.47,2
TXN100062,01 January 2021,2021,Q1,January,North,Punjab,Electronics,Tablet,Online,113,24529.06,668.00%,2771783.78,2586527.55,544251.04,2042276.52,7896.00%,158268.60,40989.82,1
TXN100063,01 January 2021,2021,Q1,January,North,Delhi,Electronics,Tablet,Retail,81,24194.45,531.00%,1959750.45,1855749.40,432532.41,1423216.99,7669.00%,74032.17,41056.60,2
TXN100064,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Furniture,Bookshelf,Distributor,105,15148.79,129.00%,1590622.95,1570101.56,649899.01,920202.55,5861.00%,38652.43,31443.33,2
TXN100065,01 January 2021,2021,Q1,January,North,Delhi,Furniture,Bookshelf,Online,90,16147.91,613.00%,1453311.90,1364273.68,597565.08,766708.60,5620.00%,78482.75,24880.43,2
TXN100066,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Furniture,Bookshelf,Retail,67,15004.88,862.00%,1005326.96,918704.36,379777.30,538927.06,5866.00%,52146.90,18835.89,1
TXN100067,01 January 2021,2021,Q1,January,North,Delhi,Furniture,Desk,Distributor,91,17997.81,381.00%,1637800.71,1575400.21,611943.46,963456.75,6116.00%,20637.78,33822.14,2
TXN100068,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Furniture,Desk,Online,85,17443.37,612.00%,1482686.45,1391898.92,574921.81,816977.10,5870.00%,79861.42,26448.82,2
TXN100069,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Furniture,Desk,Retail,73,18804.87,702.00%,1372755.51,1276382.45,505303.84,771078.61,6041.00%,43213.30,13097.88,1
TXN100070,01 January 2021,2021,Q1,January,North,Delhi,Furniture,Office Chair,Distributor,93,11566.95,265.00%,1075726.35,1047218.31,417348.98,629869.33,6015.00%,10472.18,19348.32,3
TXN100071,01 January 2021,2021,Q1,January,North,Delhi,Furniture,Office Chair,Online,84,11640.87,992.00%,977833.08,880818.24,344212.53,536605.71,6092.00%,40716.69,13450.79,2
TXN100072,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Furniture,Office Chair,Retail,71,12160.90,435.00%,863423.90,825834.25,326628.77,499205.49,6045.00%,27840.94,13582.45,1
TXN100073,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Home Appliances,Air Conditioner,Distributor,80,52946.18,339.00%,4235694.40,4092287.55,1264123.98,2828163.57,6911.00%,89313.98,93599.63,1
TXN100074,01 January 2021,2021,Q1,January,North,Delhi,Home Appliances,Air Conditioner,Online,64,51138.44,824.00%,3272860.16,3003295.98,837467.81,2165828.17,7212.00%,145419.85,67114.38,2
TXN100075,01 January 2021,2021,Q1,January,North,Delhi,Home Appliances,Air Conditioner,Retail,55,55202.21,565.00%,3036121.55,2864466.82,880934.35,1983532.46,6925.00%,99460.89,38169.84,1
TXN100076,01 January 2021,2021,Q1,January,North,Delhi,Home Appliances,Refrigerator,Distributor,73,48110.11,100.00%,3512038.03,3476917.65,815365.71,2661551.94,7655.00%,86425.40,83138.58,1
TXN100077,01 January 2021,2021,Q1,January,North,Punjab,Home Appliances,Refrigerator,Online,63,49415.66,688.00%,3113186.58,2898898.92,756235.43,2142663.49,7391.00%,166317.05,40145.92,1
TXN100078,01 January 2021,2021,Q1,January,North,Punjab,Home Appliances,Refrigerator,Retail,57,48883.35,460.00%,2786350.95,2658275.31,581903.35,2076371.96,7811.00%,89838.35,37582.08,1
TXN100079,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Home Appliances,Washing Machine,Distributor,75,40688.08,800.00%,3051606.00,2807440.65,719172.49,2088268.16,7438.00%,41393.19,41355.24,1
TXN100080,01 January 2021,2021,Q1,January,North,Delhi,Home Appliances,Washing Machine,Online,67,41551.79,940.00%,2783969.93,2522204.18,728802.67,1793401.51,7110.00%,143909.24,48572.74,2
TXN100081,01 January 2021,2021,Q1,January,North,Delhi,Home Appliances,Washing Machine,Retail,55,41262.84,541.00%,2269456.20,2146673.90,537092.00,1609581.89,7498.00%,50000.07,41182.82,1
TXN100082,01 January 2021,2021,Q1,January,North,Uttar Pradesh,Office Supplies,Keyboard,Distributor,185,2633.95,388.00%,487280.75,468357.98,237098.20,231259.78,4938.00%,11519.80,11568.99,5
TXN100083,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Keyboard,Online,143,2572.62,1130.00%,367884.66,326331.54,159580.06,166751.49,5110.00%,16883.31,6215.47,3
TXN100084,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Keyboard,Retail,134,2542.62,544.00%,340711.08,322171.22,163696.54,158474.68,4919.00%,10940.57,5924.08,3
TXN100085,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Monitor,Distributor,177,19836.20,700.00%,3511007.40,3265194.07,1099588.71,2165605.36,6632.00%,115927.90,50737.91,4
TXN100086,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Monitor,Online,156,21360.60,863.00%,3332253.60,3044755.08,916420.06,2128335.02,6990.00%,164818.73,48881.32,4
TXN100087,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Monitor,Retail,115,21446.04,664.00%,2466294.60,2302467.83,627830.62,1674637.21,7273.00%,97156.77,44274.61,3
TXN100088,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Printer,Distributor,182,16617.79,512.00%,3024437.78,2869607.05,984722.34,1884884.71,6568.00%,77085.42,63504.55,3
TXN100089,01 January 2021,2021,Q1,January,North,Delhi,Office Supplies,Printer,Online,148,15673.89,976.00%,2319735.72,2093367.41,701272.67,1392094.74,6650.00%,107075.77,20148.29,3
TXN100090,01 January 2021,2021,Q1,January,North,Punjab,Office Supplies,Printer,Retail,124,15823.98,624.00%,1962173.52,1839825.47,655036.43,1184789.03,6440.00%,43260.01,41676.93,3
TXN100091,01 January 2021,2021,Q1,January,South,Karnataka,Accessories,Headphones,Distributor,357,4281.19,198.00%,1528384.83,1498128.74,682759.53,815369.21,5443.00%,25976.58,28529.80,8
TXN100092,01 January 2021,2021,Q1,January,South,Tamil Nadu,Accessories,Headphones,Online,224,4794.38,772.00%,1073941.12,990983.75,458195.37,532788.37,5376.00%,59582.56,14607.96,8
TXN100093,01 January 2021,2021,Q1,January,South,Karnataka,Accessories,Headphones,Retail,223,4571.84,301.00%,1019520.32,988840.26,443344.56,545495.70,5517.00%,25029.40,15220.88,5
TXN100094,01 January 2021,2021,Q1,January,South,Tamil Nadu,Accessories,Power Bank,Distributor,320,2255.54,361.00%,721772.80,695748.17,340705.18,355042.99,5103.00%,18972.80,9993.29,12
TXN100095,01 January 2021,2021,Q1,January,South,Karnataka,Accessories,Power Bank,Online,209,2283.09,515.00%,477165.81,452590.04,228523.35,224066.69,4951.00%,27379.28,3911.11,1
TXN100096,01 January 2021,2021,Q1,January,South,Tamil Nadu,Accessories,Power Bank,Retail,249,2118.68,806.00%,527551.32,485037.24,236922.46,248114.78,5115.00%,15364.86,9958.36,10
TXN100097,01 January 2021,2021,Q1,January,South,Telangana,Accessories,Smartwatch,Distributor,357,8442.58,621.00%,3014001.06,2826960.88,1169646.40,1657314.48,5863.00%,91617.33,43236.52,2
TXN100098,01 January 2021,2021,Q1,January,South,Karnataka,Accessories,Smartwatch,Online,244,8123.82,664.00%,1982212.08,1850568.07,785090.98,1065477.09,5758.00%,103104.68,36922.86,9
TXN100099,01 January 2021,2021,Q1,January,South,Telangana,Accessories,Smartwatch,Retail,225,8412.48,512.00%,1892808.00,1795852.53,734837.79,1061014.73,5908.00%,68521.86,29301.24,6
TXN100100,01 January 2021,2021,Q1,January,South,Tamil Nadu,Electronics,Laptop,Distributor,146,61970.52,270.00%,9047695.92,8803820.06,2460994.96,6342825.10,7205.00%,173353.65,169833.39,2
TXN100101,01 January 2021,2021,Q1,January,South,Telangana,Electronics,Laptop,Online,130,61328.38,887.00%,7972689.40,7265760.53,2135971.79,5129788.74,7060.00%,450334.25,164332.74,2
TXN100102,01 January 2021,2021,Q1,January,South,Tamil Nadu,Electronics,Laptop,Retail,101,63280.60,839.00%,6391340.60,5855253.68,1499766.12,4355487.56,7439.00%,95342.43,97161.22,1
TXN100103,01 January 2021,2021,Q1,January,South,Karnataka,Electronics,Smartphone,Distributor,123,29068.08,516.00%,3575373.84,3390868.93,763750.57,2627118.35,7748.00%,50847.79,57850.28,2
TXN100104,01 January 2021,2021,Q1,January,South,Telangana,Electronics,Smartphone,Online,110,28533.10,751.00%,3138641.00,2902887.15,580577.43,2322309.72,8000.00%,160992.10,42450.57,3
TXN100105,01 January 2021,2021,Q1,January,South,Telangana,Electronics,Smartphone,Retail,96,28048.76,777.00%,2692680.96,2483451.36,575765.06,1907686.30,7682.00%,88000.61,67309.09,2
TXN100106,01 January 2021,2021,Q1,January,South,Karnataka,Electronics,Tablet,Distributor,133,23260.96,484.00%,3093707.68,2943933.47,838991.35,2104942.12,7150.00%,54228.95,57001.80,3
TXN100107,01 January 2021,2021,Q1,January,South,Karnataka,Electronics,Tablet,Online,118,23188.53,749.00%,2736246.54,2531169.15,582280.58,1948888.57,7700.00%,112123.81,42287.00,1
TXN100108,01 January 2021,2021,Q1,January,South,Tamil Nadu,Electronics,Tablet,Retail,80,24217.49,703.00%,1937399.20,1801230.54,494011.06,1307219.48,7257.00%,73734.64,43061.36,2
TXN100109,01 January 2021,2021,Q1,January,South,Tamil Nadu,Furniture,Bookshelf,Distributor,93,15089.00,499.00%,1403277.00,1333219.25,535820.76,797398.49,5981.00%,23650.45,26815.39,2
TXN100110,01 January 2021,2021,Q1,January,South,Karnataka,Furniture,Bookshelf,Online,84,14469.30,957.00%,1215421.20,1099084.46,404487.05,694597.41,6320.00%,60260.82,17070.58,1
TXN100111,01 January 2021,2021,Q1,January,South,Karnataka,Furniture,Bookshelf,Retail,71,14676.00,609.00%,1041996.00,978566.17,390669.30,587896.87,6008.00%,36367.10,17417.55,1
TXN100112,01 January 2021,2021,Q1,January,South,Telangana,Furniture,Desk,Distributor,129,17719.19,522.00%,2285775.51,2166393.82,955756.03,1210637.79,5588.00%,73300.96,56206.10,1
TXN100113,01 January 2021,2021,Q1,January,South,Karnataka,Furniture,Desk,Online,91,18405.84,693.00%,1674931.44,1558829.29,614695.12,944134.16,6057.00%,76119.67,31651.56,3
TXN100114,01 January 2021,2021,Q1,January,South,Karnataka,Furniture,Desk,Retail,77,17652.05,537.00%,1359207.85,1286237.70,521512.24,764725.46,5945.00%,54387.93,28581.90,2
TXN100115,01 January 2021,2021,Q1,January,South,Karnataka,Furniture,Office Chair,Distributor,103,11545.44,696.00%,1189180.32,1106408.93,465935.57,640473.36,5789.00%,22136.71,22466.99,2
TXN100116,01 January 2021,2021,Q1,January,South,Telangana,Furniture,Office Chair,Online,90,11569.77,816.00%,1041279.30,956360.46,364791.12,591569.34,6186.00%,35134.37,16824.49,2
TXN100117,01 January 2021,2021,Q1,January,South,Telangana,Furniture,Office Chair,Retail,90,11940.83,379.00%,1074674.70,1033911.16,393963.20,639947.97,6190.00%,37660.24,18757.78,2
TXN100118,01 January 2021,2021,Q1,January,South,Telangana,Home Appliances,Air Conditioner,Distributor,84,52458.85,561.00%,4406543.40,4159380.73,1192835.11,2966545.62,7132.00%,48904.63,53213.40,2
TXN100119,01 January 2021,2021,Q1,January,South,Karnataka,Home Appliances,Air Conditioner,Online,76,53035.33,799.00%,4030685.08,3708491.99,958210.06,2750281.93,7416.00%,203783.14,72732.72,2
TXN100120,01 January 2021,2021,Q1,January,South,Tamil Nadu,Home Appliances,Air Conditioner,Retail,52,52476.58,431.00%,2728782.16,2611220.32,749820.60,1861399.72,7128.00%,69265.99,46347.29,1
TXN100121,01 January 2021,2021,Q1,January,South,Telangana,Home Appliances,Refrigerator,Distributor,72,48642.59,641.00%,3502266.48,3277813.08,912983.29,2364829.79,7215.00%,50402.46,55016.59,1
TXN100122,01 January 2021,2021,Q1,January,South,Tamil Nadu,Home Appliances,Refrigerator,Online,63,49624.65,829.00%,3126352.95,2867058.60,776816.36,2090242.24,7291.00%,121117.68,44733.28,1
TXN100123,01 January 2021,2021,Q1,January,South,Telangana,Home Appliances,Refrigerator,Retail,61,49108.98,746.00%,2995647.78,2772078.34,571691.13,2200387.22,7938.00%,82891.01,42617.61,1
TXN100124,01 January 2021,2021,Q1,January,South,Karnataka,Home Appliances,Washing Machine,Distributor,89,42909.37,431.00%,3818933.93,3654201.81,970197.37,2684004.44,7345.00%,36542.02,79933.89,2
TXN100125,01 January 2021,2021,Q1,January,South,Karnataka,Home Appliances,Washing Machine,Online,92,41456.19,1011.00%,3813969.48,3428488.32,843128.82,2585359.49,7541.00%,258213.38,80868.35,2
TXN100126,01 January 2021,2021,Q1,January,South,Karnataka,Home Appliances,Washing Machine,Retail,55,42720.35,791.00%,2349619.25,2163877.99,467465.84,1696412.16,7840.00%,55252.31,21299.21,1
TXN100127,01 January 2021,2021,Q1,January,South,Karnataka,Office Supplies,Keyboard,Distributor,156,2660.83,461.00%,415089.48,395968.00,198121.89,197846.11,4997.00%,8634.87,7441.16,3
TXN100128,01 January 2021,2021,Q1,January,South,Karnataka,Office Supplies,Keyboard,Online,173,2402.77,349.00%,415679.21,401181.75,202209.17,198972.58,4960.00%,24553.84,7978.20,2
TXN100129,01 January 2021,2021,Q1,January,South,Karnataka,Office Supplies,Keyboard,Retail,127,2556.62,479.00%,324690.74,309139.49,149506.74,159632.75,5164.00%,11921.41,5582.08,5
TXN100130,01 January 2021,2021,Q1,January,South,Tamil Nadu,Office Supplies,Monitor,Distributor,155,21803.01,422.00%,3379466.55,3237002.24,904185.27,2332816.96,7207.00%,45004.58,36838.94,4
TXN100131,01 January 2021,2021,Q1,January,South,Telangana,Office Supplies,Monitor,Online,175,21232.11,895.00%,3715619.25,3383055.01,884689.66,2498365.36,7385.00%,149762.56,86427.96,4
TXN100132,01 January 2021,2021,Q1,January,South,Karnataka,Office Supplies,Monitor,Retail,138,20670.61,511.00%,2852544.18,2706827.68,813323.18,1893504.50,6995.00%,86309.08,35351.77,2
TXN100133,01 January 2021,2021,Q1,January,South,Tamil Nadu,Office Supplies,Printer,Distributor,175,16111.99,247.00%,2819598.25,2749838.01,1048083.71,1701754.31,6189.00%,63339.13,50700.36,5
TXN100134,01 January 2021,2021,Q1,January,South,Karnataka,Office Supplies,Printer,Online,171,16514.79,770.00%,2824029.09,2606588.67,806256.46,1800332.21,6907.00%,131838.21,56968.04,5
TXN100135,01 January 2021,2021,Q1,January,South,Tamil Nadu,Office Supplies,Printer,Retail,155,16799.73,729.00%,2603958.15,2414062.49,867106.77,1546955.72,6408.00%,61746.20,36884.35,1
TXN100136,01 January 2021,2021,Q1,January,West,Gujarat,Accessories,Headphones,Distributor,313,4483.46,623.00%,1403322.98,1315826.04,664838.31,650987.73,4947.00%,23079.68,16475.18,7
TXN100137,01 January 2021,2021,Q1,January,West,Maharashtra,Accessories,Headphones,Online,308,4421.16,995.00%,1361717.28,1226291.46,534649.34,691642.12,5640.00%,85296.65,18010.82,8
TXN100138,01 January 2021,2021,Q1,January,West,Maharashtra,Accessories,Headphones,Retail,211,4371.51,555.00%,922388.61,871201.33,402991.58,468209.75,5374.00%,27979.40,24282.31,2
TXN100139,01 January 2021,2021,Q1,January,West,Maharashtra,Accessories,Power Bank,Distributor,239,2172.54,314.00%,519237.06,502911.92,251321.63,251590.29,5003.00%,8454.30,9602.35,7
TXN100140,01 January 2021,2021,Q1,January,West,Rajasthan,Accessories,Power Bank,Online,229,2220.57,1071.00%,508510.53,454050.05,204213.08,249836.96,5502.00%,31048.21,8933.92,4
